E N D Resistivity
818047 2200309 0  0.31985
818047 2200309 2  0.28886
818047 2200309 4  0.28886
818047 2200309 6  0.28886
818047 2200309 8  0.28886
818047 2200309 10 0.28886
818047 2200309 12 0.49146
818047 2200309 14 0.49146
818047 2200309 16 0.49146
818047 2200309 18 0.49146
818047 2200309 20 0.49146
818047 2200309 22 0.44838
818047 2200309 24 0.44838
818047 2200309 26 0.44838
818047 2200309 28 0.44838
818047 2200309 30 0.44838
818047 2200309 32 0.36439
818047 2200309 34 0.36439
818047 2200309 36 0.36439
818047 2200309 38 0.36439
818047 2200309 40 0.36439
818047 2200309 42 0.31535
818047 2200309 44 0.31535
818047 2200309 46 0.31535
818047 2200309 48 0.31535
818047 2200309 50 0.31535
818047 2200309 52 0.298
818047 2200309 54 0.298
818047 2200309 56 0.298
818047 2200309 58 0.298
818047 2200309 60 0.298
818047 2200309 62 0.30589
818047 2200309 64 0.30589
818047 2200309 66 0.30589
818047 2200309 68 0.30589
818047 2200309 70 0.30589
818047 2200309 72 0.33225
818047 2200309 74 0.33225
818047 2200309 76 0.33225
818047 2200309 78 0.33225
818047 2200309 80 0.33225
818047 2200309 82 0.33225
818047 2200309 84 0.38669
818047 2200309 86 0.38669
818047 2200309 88 0.38669
818047 2200309 90 0.38669
818047 2200309 92 0.38669
818047 2200309 94 0.49294
818047 2200309 96 0.49294
818047 2200309 98 0.49294
818047 2200309 100 0.49294
818046 2200308 0 1e+13
818046 2200308 2 0.28886
818046 2200308 4 0.28886
818046 2200308 6 0.28886
818046 2200308 8 0.28886
818046 2200308 10 0.28886
818046 2200308 12 0.49146
818046 2200308 14 0.49146
818046 2200308 16 0.49146
818046 2200308 18 0.49146
818046 2200308 20 0.49146
818046 2200308 22 0.44838
818046 2200308 24 0.44838
818046 2200308 26 0.44838
818046 2200308 28 0.44838
818046 2200308 30 0.44838
818046 2200308 32 0.36439
818046 2200308 34 0.36439
818046 2200308 36 0.36439
818046 2200308 38 0.36439
818046 2200308 40 0.36439
818046 2200308 42 0.31535
818046 2200308 44 0.31535
818046 2200308 46 0.31535
818046 2200308 48 0.31535
818046 2200308 50 0.31535
818046 2200308 52 0.298
818046 2200308 54 0.298
818046 2200308 56 0.298
818046 2200308 58 0.298
818046 2200308 60 0.298
818046 2200308 62 0.30589
818046 2200308 64 0.30589
818046 2200308 66 0.30589
818046 2200308 68 0.30589
818046 2200308 70 0.30589
818046 2200308 72 0.33225
818046 2200308 74 0.33225
818046 2200308 76 0.33225
818046 2200308 78 0.33225
818046 2200308 80 0.33225
818046 2200308 82 0.33225
818046 2200308 84 0.38669
818046 2200308 86 0.38669
818046 2200308 88 0.38669
818046 2200308 90 0.38669
818046 2200308 92 0.38669
818046 2200308 94 0.49294
818046 2200308 96 0.49294
818046 2200308 98 0.49294
818046 2200308 100 0.49294
818044 2200306 0 1e+13
