E N D Resistivity
813311 2173997 1  0.61014
813311 2173997 3  0.61014
813311 2173997 5  0.61014
813311 2173997 7  0.61014
813311 2173997 9  0.61014
813311 2173997 11 0.61014
813311 2173997 13 0.72617
813311 2173997 15 0.72617
813311 2173997 17 0.72617
813311 2173997 19 0.72617
813311 2173997 21 0.72617
813311 2173997 23 0.72617
813311 2173997 25 0.51936
813311 2173997 27 0.51936
813311 2173997 29 0.51936
813311 2173997 31 0.51936
813311 2173997 33 0.51936
813311 2173997 35 0.51936
813311 2173997 37 0.51936
813311 2173997 39 0.29278
813311 2173997 41 0.29278
813311 2173997 43 0.29278
813311 2173997 45 0.29278
813311 2173997 47 0.29278
813311 2173997 49 0.29278
813311 2173997 51 0.25009
813311 2173997 53 0.25009
813311 2173997 55 0.25009
813311 2173997 57 0.25009
813311 2173997 59 0.25009
813311 2173997 61 0.25009
813311 2173997 63 0.35316
813311 2173997 65 0.35316
813311 2173997 67 0.35316
813311 2173997 69 0.35316
813311 2173997 71 0.35316
813311 2173997 73 0.35316
813311 2173997 75 0.946
813311 2173997 77 0.946
813311 2173997 79 0.946
813311 2173997 81 0.946
813311 2173997 83 0.946
813311 2173997 85 0.946
813313 2173996 1 0.4114
813313 2173996 3 0.4114
813313 2173996 5 0.4114
813313 2173996 7 0.4114
813313 2173996 9 0.4114
813313 2173996 11 0.4114
813313 2173996 13 0.47789
813313 2173996 15 0.47789
813313 2173996 17 0.47789
813313 2173996 19 0.47789
813313 2173996 21 0.47789
813313 2173996 23 0.47789
813313 2173996 25 0.36665
813313 2173996 27 0.36665
813313 2173996 29 0.36665
813313 2173996 31 0.36665
813313 2173996 33 0.36665
813313 2173996 35 0.36665
813313 2173996 37 0.36665
813313 2173996 39 0.21937
813313 2173996 41 0.21937
813313 2173996 43 0.21937
813313 2173996 45 0.21937
813313 2173996 47 0.21937
813313 2173996 49 0.21937
813313 2173996 51 0.1929
813313 2173996 53 0.1929
813313 2173996 55 0.1929
813313 2173996 57 0.1929
813313 2173996 59 0.1929
813313 2173996 61 0.1929
813313 2173996 63 0.2749
813313 2173996 65 0.2749
813313 2173996 67 0.2749
813313 2173996 69 0.2749
813313 2173996 71 0.2749
813313 2173996 73 0.2749
813313 2173996 75 0.77143
813313 2173996 77 0.77143
813313 2173996 79 0.77143
813313 2173996 81 0.77143
813313 2173996 83 0.77143
813313 2173996 85 0.77143
813315 2173995 1 0.4114
813315 2173995 3 0.4114
813315 2173995 5 0.4114
813315 2173995 7 0.4114
813315 2173995 9 0.4114
813315 2173995 11 0.4114
813315 2173995 13 0.47789
813315 2173995 15 0.47789
813315 2173995 17 0.47789
813315 2173995 19 0.47789
813315 2173995 21 0.47789
813315 2173995 23 0.47789
813315 2173995 25 0.36665
813315 2173995 27 0.36665
813315 2173995 29 0.36665
813315 2173995 31 0.36665
813315 2173995 33 0.36665
813315 2173995 35 0.36665
813315 2173995 37 0.36665
813315 2173995 39 0.21937
813315 2173995 41 0.21937
813315 2173995 43 0.21937
813315 2173995 45 0.21937
813315 2173995 47 0.21937
813315 2173995 49 0.21937
813315 2173995 51 0.1929
813315 2173995 53 0.1929
813315 2173995 55 0.1929
813315 2173995 57 0.1929
813315 2173995 59 0.1929
813315 2173995 61 0.1929
813315 2173995 63 0.2749
813315 2173995 65 0.2749
813315 2173995 67 0.2749
813315 2173995 69 0.2749
813315 2173995 71 0.2749
813315 2173995 73 0.2749
813315 2173995 75 0.77143
813315 2173995 77 0.77143
813315 2173995 79 0.77143
813315 2173995 81 0.77143
813315 2173995 83 0.77143
813315 2173995 85 0.77143
813317 2173994 1 0.4114
813317 2173994 3 0.4114
813317 2173994 5 0.4114
813317 2173994 7 0.4114
813317 2173994 9 0.4114
813317 2173994 11 0.4114
813317 2173994 13 0.47789
813317 2173994 15 0.47789
813317 2173994 17 0.47789
813317 2173994 19 0.47789
813317 2173994 21 0.47789
813317 2173994 23 0.47789
813317 2173994 25 0.36665
813317 2173994 27 0.36665
813317 2173994 29 0.36665
813317 2173994 31 0.36665
813317 2173994 33 0.36665
813317 2173994 35 0.36665
813317 2173994 37 0.36665
813317 2173994 39 0.21937
813317 2173994 41 0.21937
813317 2173994 43 0.21937
813317 2173994 45 0.21937
813317 2173994 47 0.21937
813317 2173994 49 0.21937
813317 2173994 51 0.1929
813317 2173994 53 0.1929
813317 2173994 55 0.1929
813317 2173994 57 0.1929
813317 2173994 59 0.1929
813317 2173994 61 0.1929
813317 2173994 63 0.2749
813317 2173994 65 0.2749
813317 2173994 67 0.2749
813317 2173994 69 0.2749
813317 2173994 71 0.2749
813317 2173994 73 0.2749
813317 2173994 75 0.77143
813317 2173994 77 0.77143
813317 2173994 79 0.77143
813317 2173994 81 0.77143
813317 2173994 83 0.77143
813317 2173994 85 0.77143
813318 2173993 1 0.4114
813318 2173993 3 0.4114
813318 2173993 5 0.4114
813318 2173993 7 0.4114
813318 2173993 9 0.4114
813318 2173993 11 0.4114
813318 2173993 13 0.47789
813318 2173993 15 0.47789
813318 2173993 17 0.47789
813318 2173993 19 0.47789
813318 2173993 21 0.47789
813318 2173993 23 0.47789
813318 2173993 25 0.36665
813318 2173993 27 0.36665
813318 2173993 29 0.36665
813318 2173993 31 0.36665
813318 2173993 33 0.36665
813318 2173993 35 0.36665
813318 2173993 37 0.36665
813318 2173993 39 0.21937
813318 2173993 41 0.21937
813318 2173993 43 0.21937
813318 2173993 45 0.21937
813318 2173993 47 0.21937
813318 2173993 49 0.21937
813318 2173993 51 0.1929
813318 2173993 53 0.1929
813318 2173993 55 0.1929
813318 2173993 57 0.1929
813318 2173993 59 0.1929
813318 2173993 61 0.1929
813318 2173993 63 0.2749
813318 2173993 65 0.2749
813318 2173993 67 0.2749
813318 2173993 69 0.2749
813318 2173993 71 0.2749
813318 2173993 73 0.2749
813318 2173993 75 0.77143
813318 2173993 77 0.77143
813318 2173993 79 0.77143
813318 2173993 81 0.77143
813318 2173993 83 0.77143
813318 2173993 85 0.77143
813320 2173992 1 0.4114
813320 2173992 3 0.4114
813320 2173992 5 0.4114
813320 2173992 7 0.4114
813320 2173992 9 0.4114
813320 2173992 11 0.4114
813320 2173992 13 0.47789
813320 2173992 15 0.47789
813320 2173992 17 0.47789
813320 2173992 19 0.47789
813320 2173992 21 0.47789
813320 2173992 23 0.47789
813320 2173992 25 0.36665
813320 2173992 27 0.36665
813320 2173992 29 0.36665
813320 2173992 31 0.36665
813320 2173992 33 0.36665
813320 2173992 35 0.36665
813320 2173992 37 0.36665
813320 2173992 39 0.21937
813320 2173992 41 0.21937
813320 2173992 43 0.21937
813320 2173992 45 0.21937
813320 2173992 47 0.21937
813320 2173992 49 0.21937
813320 2173992 51 0.1929
813320 2173992 53 0.1929
813320 2173992 55 0.1929
813320 2173992 57 0.1929
813320 2173992 59 0.1929
813320 2173992 61 0.1929
813320 2173992 63 0.2749
813320 2173992 65 0.2749
813320 2173992 67 0.2749
813320 2173992 69 0.2749
813320 2173992 71 0.2749
813320 2173992 73 0.2749
813320 2173992 75 0.77143
813320 2173992 77 0.77143
813320 2173992 79 0.77143
813320 2173992 81 0.77143
813320 2173992 83 0.77143
813320 2173992 85 0.77143
813322 2173990 1 0.35961
813322 2173990 3 0.35961
813322 2173990 5 0.35961
813322 2173990 7 0.35961
813322 2173990 9 0.35961
813322 2173990 11 0.35961
813322 2173990 13 0.44219
813322 2173990 15 0.44219
813322 2173990 17 0.44219
813322 2173990 19 0.44219
813322 2173990 21 0.44219
813322 2173990 23 0.44219
813322 2173990 25 0.3292
813322 2173990 27 0.3292
813322 2173990 29 0.3292
813322 2173990 31 0.3292
813322 2173990 33 0.3292
813322 2173990 35 0.3292
813322 2173990 37 0.3292
813322 2173990 39 0.20335
813322 2173990 41 0.20335
813322 2173990 43 0.20335
813322 2173990 45 0.20335
813322 2173990 47 0.20335
813322 2173990 49 0.20335
813322 2173990 51 0.17282
813322 2173990 53 0.17282
813322 2173990 55 0.17282
813322 2173990 57 0.17282
813322 2173990 59 0.17282
813322 2173990 61 0.17282
813322 2173990 63 0.24896
813322 2173990 65 0.24896
813322 2173990 67 0.24896
813322 2173990 69 0.24896
813322 2173990 71 0.24896
813322 2173990 73 0.24896
813322 2173990 75 0.74563
813322 2173990 77 0.74563
813322 2173990 79 0.74563
813322 2173990 81 0.74563
813322 2173990 83 0.74563
813322 2173990 85 0.74563
813323 2173989 1 0.35961
813323 2173989 3 0.35961
813323 2173989 5 0.35961
813323 2173989 7 0.35961
813323 2173989 9 0.35961
813323 2173989 11 0.35961
813323 2173989 13 0.44219
813323 2173989 15 0.44219
813323 2173989 17 0.44219
813323 2173989 19 0.44219
813323 2173989 21 0.44219
813323 2173989 23 0.44219
813323 2173989 25 0.3292
813323 2173989 27 0.3292
813323 2173989 29 0.3292
813323 2173989 31 0.3292
813323 2173989 33 0.3292
813323 2173989 35 0.3292
813323 2173989 37 0.3292
813323 2173989 39 0.20335
813323 2173989 41 0.20335
813323 2173989 43 0.20335
813323 2173989 45 0.20335
813323 2173989 47 0.20335
813323 2173989 49 0.20335
813323 2173989 51 0.17282
813323 2173989 53 0.17282
813323 2173989 55 0.17282
813323 2173989 57 0.17282
813323 2173989 59 0.17282
813323 2173989 61 0.17282
813323 2173989 63 0.24896
813323 2173989 65 0.24896
813323 2173989 67 0.24896
813323 2173989 69 0.24896
813323 2173989 71 0.24896
813323 2173989 73 0.24896
813323 2173989 75 0.74563
813323 2173989 77 0.74563
813323 2173989 79 0.74563
813323 2173989 81 0.74563
813323 2173989 83 0.74563
813323 2173989 85 0.74563
813325 2173988 1 0.35961
813325 2173988 3 0.35961
813325 2173988 5 0.35961
813325 2173988 7 0.35961
813325 2173988 9 0.35961
813325 2173988 11 0.35961
813325 2173988 13 0.44219
813325 2173988 15 0.44219
813325 2173988 17 0.44219
813325 2173988 19 0.44219
813325 2173988 21 0.44219
813325 2173988 23 0.44219
813325 2173988 25 0.3292
813325 2173988 27 0.3292
813325 2173988 29 0.3292
813325 2173988 31 0.3292
813325 2173988 33 0.3292
813325 2173988 35 0.3292
813325 2173988 37 0.3292
813325 2173988 39 0.20335
813325 2173988 41 0.20335
813325 2173988 43 0.20335
813325 2173988 45 0.20335
813325 2173988 47 0.20335
813325 2173988 49 0.20335
813325 2173988 51 0.17282
813325 2173988 53 0.17282
813325 2173988 55 0.17282
813325 2173988 57 0.17282
813325 2173988 59 0.17282
813325 2173988 61 0.17282
813325 2173988 63 0.24896
813325 2173988 65 0.24896
813325 2173988 67 0.24896
813325 2173988 69 0.24896
813325 2173988 71 0.24896
813325 2173988 73 0.24896
813325 2173988 75 0.74563
813325 2173988 77 0.74563
813325 2173988 79 0.74563
813325 2173988 81 0.74563
813325 2173988 83 0.74563
813325 2173988 85 0.74563
813327 2173987 1 0.35961
813327 2173987 3 0.35961
813327 2173987 5 0.35961
813327 2173987 7 0.35961
813327 2173987 9 0.35961
813327 2173987 11 0.35961
813327 2173987 13 0.44219
813327 2173987 15 0.44219
813327 2173987 17 0.44219
813327 2173987 19 0.44219
813327 2173987 21 0.44219
813327 2173987 23 0.44219
813327 2173987 25 0.3292
813327 2173987 27 0.3292
813327 2173987 29 0.3292
813327 2173987 31 0.3292
813327 2173987 33 0.3292
813327 2173987 35 0.3292
813327 2173987 37 0.3292
813327 2173987 39 0.20335
813327 2173987 41 0.20335
813327 2173987 43 0.20335
813327 2173987 45 0.20335
813327 2173987 47 0.20335
813327 2173987 49 0.20335
813327 2173987 51 0.17282
813327 2173987 53 0.17282
813327 2173987 55 0.17282
813327 2173987 57 0.17282
813327 2173987 59 0.17282
813327 2173987 61 0.17282
813327 2173987 63 0.24896
813327 2173987 65 0.24896
813327 2173987 67 0.24896
813327 2173987 69 0.24896
813327 2173987 71 0.24896
813327 2173987 73 0.24896
813327 2173987 75 0.74563
813327 2173987 77 0.74563
813327 2173987 79 0.74563
813327 2173987 81 0.74563
813327 2173987 83 0.74563
813327 2173987 85 0.74563
813328 2173986 1 0.35961
813328 2173986 3 0.35961
813328 2173986 5 0.35961
813328 2173986 7 0.35961
813328 2173986 9 0.35961
813328 2173986 11 0.35961
813328 2173986 13 0.44219
813328 2173986 15 0.44219
813328 2173986 17 0.44219
813328 2173986 19 0.44219
813328 2173986 21 0.44219
813328 2173986 23 0.44219
813328 2173986 25 0.3292
813328 2173986 27 0.3292
813328 2173986 29 0.3292
813328 2173986 31 0.3292
813328 2173986 33 0.3292
813328 2173986 35 0.3292
813328 2173986 37 0.3292
813328 2173986 39 0.20335
813328 2173986 41 0.20335
813328 2173986 43 0.20335
813328 2173986 45 0.20335
813328 2173986 47 0.20335
813328 2173986 49 0.20335
813328 2173986 51 0.17282
813328 2173986 53 0.17282
813328 2173986 55 0.17282
813328 2173986 57 0.17282
813328 2173986 59 0.17282
813328 2173986 61 0.17282
813328 2173986 63 0.24896
813328 2173986 65 0.24896
813328 2173986 67 0.24896
813328 2173986 69 0.24896
813328 2173986 71 0.24896
813328 2173986 73 0.24896
813328 2173986 75 0.74563
813328 2173986 77 0.74563
813328 2173986 79 0.74563
813328 2173986 81 0.74563
813328 2173986 83 0.74563
813328 2173986 85 0.74563
813330 2173985 1 0.42652
813330 2173985 3 0.42652
813330 2173985 5 0.42652
813330 2173985 7 0.42652
813330 2173985 9 0.42652
813330 2173985 11 0.42652
813330 2173985 13 0.56349
813330 2173985 15 0.56349
813330 2173985 17 0.56349
813330 2173985 19 0.56349
813330 2173985 21 0.56349
813330 2173985 23 0.56349
813330 2173985 25 0.36931
813330 2173985 27 0.36931
813330 2173985 29 0.36931
