E N D Resistivity
808482 2182666 1  0.29648
808482 2182666 3  0.29648
808482 2182666 5  0.29648
808482 2182666 7  0.29648
808482 2182666 9  0.29648
808482 2182666 11 0.29648
808482 2182666 13 0.50197
808482 2182666 15 0.50197
808482 2182666 17 0.50197
808482 2182666 19 0.50197
808482 2182666 21 0.50197
808482 2182666 23 0.17896
808482 2182666 25 0.17896
808482 2182666 27 0.17896
808482 2182666 29 0.17896
808482 2182666 31 0.17896
808482 2182666 33 0.17896
808482 2182666 35 0.18888
808482 2182666 37 0.18888
808482 2182666 39 0.18888
808482 2182666 41 0.18888
808482 2182666 43 0.18888
808482 2182666 45 0.28973
808482 2182666 47 0.28973
808482 2182666 49 0.28973
808482 2182666 51 0.28973
808482 2182666 53 0.28973
808482 2182666 55 0.28973
808482 2182666 57 0.44302
808482 2182666 59 0.44302
808482 2182666 61 0.44302
808482 2182666 63 0.44302
808482 2182666 65 0.44302
808482 2182666 67 0.50765
808482 2182666 69 0.50765
808483 2182665 1 7.1753
808483 2182665 3 7.1753
808483 2182665 5 7.1753
808483 2182665 7 7.1753
808483 2182665 9 7.1753
808483 2182665 11 7.1753
808483 2182665 13 0.67822
808483 2182665 15 0.67822
808483 2182665 17 0.67822
808483 2182665 19 0.67822
808483 2182665 21 0.67822
808483 2182665 23 0.18115
808483 2182665 25 0.18115
808483 2182665 27 0.18115
808483 2182665 29 0.18115
808483 2182665 31 0.18115
808483 2182665 33 0.18115
808483 2182665 35 0.17779
808483 2182665 37 0.17779
808483 2182665 39 0.17779
808483 2182665 41 0.17779
808483 2182665 43 0.17779
808483 2182665 45 0.25736
808483 2182665 47 0.25736
808483 2182665 49 0.25736
808483 2182665 51 0.25736
808483 2182665 53 0.25736
808483 2182665 55 0.25736
808483 2182665 57 0.44302
808483 2182665 59 0.44302
808483 2182665 61 0.44302
808483 2182665 63 0.44302
808483 2182665 65 0.44302
808483 2182665 67 0.50765
808483 2182665 69 0.50765
808484 2182663 1 7.1753
808484 2182663 3 7.1753
808484 2182663 5 7.1753
808484 2182663 7 7.1753
808484 2182663 9 7.1753
808484 2182663 11 7.1753
808484 2182663 13 0.67822
808484 2182663 15 0.67822
808484 2182663 17 0.67822
808484 2182663 19 0.67822
808484 2182663 21 0.67822
808484 2182663 23 0.18115
808484 2182663 25 0.18115
808484 2182663 27 0.18115
808484 2182663 29 0.18115
808484 2182663 31 0.18115
808484 2182663 33 0.18115
808484 2182663 35 0.17779
808484 2182663 37 0.17779
808484 2182663 39 0.17779
808484 2182663 41 0.17779
808484 2182663 43 0.17779
808484 2182663 45 0.25736
808484 2182663 47 0.25736
808484 2182663 49 0.25736
808484 2182663 51 0.25736
808484 2182663 53 0.25736
808484 2182663 55 0.25736
808484 2182663 57 0.44302
808484 2182663 59 0.44302
808484 2182663 61 0.44302
808484 2182663 63 0.44302
808484 2182663 65 0.44302
808484 2182663 67 0.50765
808484 2182663 69 0.50765
808485 2182661 1 7.1753
808485 2182661 3 7.1753
808485 2182661 5 7.1753
808485 2182661 7 7.1753
808485 2182661 9 7.1753
808485 2182661 11 7.1753
808485 2182661 13 0.67822
808485 2182661 15 0.67822
808485 2182661 17 0.67822
808485 2182661 19 0.67822
808485 2182661 21 0.67822
808485 2182661 23 0.18115
808485 2182661 25 0.18115
808485 2182661 27 0.18115
808485 2182661 29 0.18115
808485 2182661 31 0.18115
808485 2182661 33 0.18115
808485 2182661 35 0.17779
808485 2182661 37 0.17779
808485 2182661 39 0.17779
808485 2182661 41 0.17779
808485 2182661 43 0.17779
808485 2182661 45 0.25736
808485 2182661 47 0.25736
808485 2182661 49 0.25736
808485 2182661 51 0.25736
808485 2182661 53 0.25736
808485 2182661 55 0.25736
808485 2182661 57 0.44302
808485 2182661 59 0.44302
808485 2182661 61 0.44302
808485 2182661 63 0.44302
808485 2182661 65 0.44302
808485 2182661 67 0.50765
808485 2182661 69 0.50765
808485 2182659 1 7.1753
808485 2182659 3 7.1753
808485 2182659 5 7.1753
808485 2182659 7 7.1753
808485 2182659 9 7.1753
808485 2182659 11 7.1753
808485 2182659 13 0.67822
808485 2182659 15 0.67822
808485 2182659 17 0.67822
808485 2182659 19 0.67822
808485 2182659 21 0.67822
808485 2182659 23 0.18115
808485 2182659 25 0.18115
808485 2182659 27 0.18115
808485 2182659 29 0.18115
808485 2182659 31 0.18115
808485 2182659 33 0.18115
808485 2182659 35 0.17779
808485 2182659 37 0.17779
808485 2182659 39 0.17779
808485 2182659 41 0.17779
808485 2182659 43 0.17779
808485 2182659 45 0.25736
808485 2182659 47 0.25736
808485 2182659 49 0.25736
808485 2182659 51 0.25736
808485 2182659 53 0.25736
808485 2182659 55 0.25736
808485 2182659 57 0.44302
808485 2182659 59 0.44302
808485 2182659 61 0.44302
808485 2182659 63 0.44302
808485 2182659 65 0.44302
808485 2182659 67 0.50765
808485 2182659 69 0.50765
808486 2182657 1 7.1753
808486 2182657 3 7.1753
808486 2182657 5 7.1753
808486 2182657 7 7.1753
808486 2182657 9 7.1753
808486 2182657 11 7.1753
808486 2182657 13 0.67822
808486 2182657 15 0.67822
808486 2182657 17 0.67822
808486 2182657 19 0.67822
808486 2182657 21 0.67822
808486 2182657 23 0.18115
808486 2182657 25 0.18115
808486 2182657 27 0.18115
808486 2182657 29 0.18115
808486 2182657 31 0.18115
808486 2182657 33 0.18115
808486 2182657 35 0.17779
808486 2182657 37 0.17779
808486 2182657 39 0.17779
808486 2182657 41 0.17779
808486 2182657 43 0.17779
808486 2182657 45 0.25736
808486 2182657 47 0.25736
808486 2182657 49 0.25736
808486 2182657 51 0.25736
808486 2182657 53 0.25736
808486 2182657 55 0.25736
808486 2182657 57 0.44302
808486 2182657 59 0.44302
808486 2182657 61 0.44302
808486 2182657 63 0.44302
808486 2182657 65 0.44302
808486 2182657 67 0.50765
808486 2182657 69 0.50765
808487 2182655 1 7.1753
808487 2182655 3 7.1753
808487 2182655 5 7.1753
808487 2182655 7 7.1753
808487 2182655 9 7.1753
808487 2182655 11 7.1753
808487 2182655 13 0.67822
808487 2182655 15 0.67822
808487 2182655 17 0.67822
808487 2182655 19 0.67822
808487 2182655 21 0.67822
808487 2182655 23 0.18115
808487 2182655 25 0.18115
808487 2182655 27 0.18115
808487 2182655 29 0.18115
808487 2182655 31 0.18115
808487 2182655 33 0.18115
808487 2182655 35 0.17779
808487 2182655 37 0.17779
808487 2182655 39 0.17779
808487 2182655 41 0.17779
808487 2182655 43 0.17779
808487 2182655 45 0.25736
808487 2182655 47 0.25736
808487 2182655 49 0.25736
808487 2182655 51 0.25736
808487 2182655 53 0.25736
808487 2182655 55 0.25736
808487 2182655 57 0.44302
808487 2182655 59 0.44302
