E N D Resistivity
810427 2192318 18 0.24467
810427 2192318 20 0.24467
810427 2192318 22 0.23901
810427 2192318 24 0.23901
810427 2192318 26 0.23901
810427 2192318 28 0.23901
810427 2192318 30 0.23901
810427 2192318 32 0.25944
810427 2192318 34 0.25944
810427 2192318 36 0.25944
810427 2192318 38 0.25944
810427 2192318 40 0.25944
810427 2192318 42 0.32671
810427 2192318 44 0.32671
810427 2192318 46 0.32671
810427 2192318 48 0.32671
810427 2192318 50 0.32671
810427 2192318 52 0.49751
810427 2192318 54 0.49751
810427 2192318 56 0.49751
810427 2192318 58 0.49751
810427 2192318 60 0.49751
810427 2192318 62 0.89126
810427 2192318 64 0.89126
810426 2192316 0 1e+13
810426 2192316 2 0.25717
810426 2192316 4 0.25717
810426 2192316 6 0.25717
810426 2192316 8 0.25717
810426 2192316 10 0.25717
810426 2192316 12 0.24467
810426 2192316 14 0.24467
810426 2192316 16 0.24467
810426 2192316 18 0.24467
810426 2192316 20 0.24467
810426 2192316 22 0.23901
810426 2192316 24 0.23901
810426 2192316 26 0.23901
810426 2192316 28 0.23901
810426 2192316 30 0.23901
810426 2192316 32 0.25944
810426 2192316 34 0.25944
810426 2192316 36 0.25944
810426 2192316 38 0.25944
810426 2192316 40 0.25944
810426 2192316 42 0.32671
810426 2192316 44 0.32671
810426 2192316 46 0.32671
810426 2192316 48 0.32671
810426 2192316 50 0.32671
810426 2192316 52 0.49751
810426 2192316 54 0.49751
810426 2192316 56 0.49751
810426 2192316 58 0.49751
810426 2192316 60 0.49751
810426 2192316 62 0.89126
810426 2192316 64 0.89126
810424 2192315 0 1e+13
810424 2192315 2 0.25717
810424 2192315 4 0.25717
810424 2192315 6 0.25717
810424 2192315 8 0.25717
810424 2192315 10 0.25717
810424 2192315 12 0.24467
810424 2192315 14 0.24467
810424 2192315 16 0.24467
810424 2192315 18 0.24467
810424 2192315 20 0.24467
810424 2192315 22 0.23901
810424 2192315 24 0.23901
810424 2192315 26 0.23901
810424 2192315 28 0.23901
810424 2192315 30 0.23901
810424 2192315 32 0.25944
810424 2192315 34 0.25944
810424 2192315 36 0.25944
810424 2192315 38 0.25944
810424 2192315 40 0.25944
810424 2192315 42 0.32671
810424 2192315 44 0.32671
810424 2192315 46 0.32671
810424 2192315 48 0.32671
810424 2192315 50 0.32671
810424 2192315 52 0.49751
810424 2192315 54 0.49751
810424 2192315 56 0.49751
810424 2192315 58 0.49751
810424 2192315 60 0.49751
810424 2192315 62 0.89126
810424 2192315 64 0.89126
810423 2192314 0 0.21311
810423 2192314 2 0.25717
810423 2192314 4 0.25717
810423 2192314 6 0.25717
810423 2192314 8 0.25717
810423 2192314 10 0.25717
810423 2192314 12 0.24467
810423 2192314 14 0.24467
810423 2192314 16 0.24467
810423 2192314 18 0.24467
810423 2192314 20 0.24467
810423 2192314 22 0.23901
810423 2192314 24 0.23901
810423 2192314 26 0.23901
810423 2192314 28 0.23901
810423 2192314 30 0.23901
810423 2192314 32 0.25944
810423 2192314 34 0.25944
810423 2192314 36 0.25944
810423 2192314 38 0.25944
810423 2192314 40 0.25944
810423 2192314 42 0.32671
810423 2192314 44 0.32671
810423 2192314 46 0.32671
810423 2192314 48 0.32671
810423 2192314 50 0.32671
810423 2192314 52 0.49751
810423 2192314 54 0.49751
810423 2192314 56 0.49751
810423 2192314 58 0.49751
810423 2192314 60 0.49751
