E N D Resistivity
812708 2196650 0  10
812708 2196650 2  0.42436
812708 2196650 4  0.42436
812708 2196650 6  0.42436
812708 2196650 8  0.42436
812708 2196650 10 0.42436
812708 2196650 12 0.36871
812708 2196650 14 0.36871
812708 2196650 16 0.36871
812708 2196650 18 0.36871
812708 2196650 20 0.36871
812708 2196650 22 0.37438
812708 2196650 24 0.37438
812708 2196650 26 0.37438
812708 2196650 28 0.37438
812708 2196650 30 0.37438
812708 2196650 32 0.37438
812708 2196650 34 0.41254
812708 2196650 36 0.41254
812708 2196650 38 0.41254
812708 2196650 40 0.41254
812708 2196650 42 0.41254
812708 2196650 44 0.4682
812708 2196650 46 0.4682
812708 2196650 48 0.4682
812708 2196650 50 0.4682
812708 2196650 52 0.4682
812708 2196650 54 0.53776
812708 2196650 56 0.53776
812708 2196650 58 0.53776
812708 2196650 60 0.53776
812708 2196650 62 0.53776
812708 2196650 64 0.53776
812708 2196650 66 0.61852
812708 2196650 68 0.61852
812708 2196650 70 0.61852
812708 2196650 72 0.61852
812708 2196650 74 0.61852
812708 2196650 76 0.7073
812708 2196650 78 0.7073
812708 2196650 80 0.7073
812708 2196650 82 0.7073
812708 2196650 84 0.7073
812708 2196650 86 0.7073
812708 2196650 88 0.815
812708 2196650 90 0.815
812708 2196650 92 0.815
812708 2196650 94 0.815
812708 2196650 96 0.815
812708 2196650 98 0.88528
812708 2196650 100 0.88528
812707 2196649 0 10
812707 2196649 2 0.43361
812707 2196649 4 0.43361
812707 2196649 6 0.43361
812707 2196649 8 0.43361
812707 2196649 10 0.43361
812707 2196649 12 0.39906
812707 2196649 14 0.39906
812707 2196649 16 0.39906
812707 2196649 18 0.39906
812707 2196649 20 0.39906
812707 2196649 22 0.39018
812707 2196649 24 0.39018
812707 2196649 26 0.39018
812707 2196649 28 0.39018
812707 2196649 30 0.39018
812707 2196649 32 0.39018
812707 2196649 34 0.41521
812707 2196649 36 0.41521
812707 2196649 38 0.41521
812707 2196649 40 0.41521
812707 2196649 42 0.41521
812707 2196649 44 0.46277
812707 2196649 46 0.46277
812707 2196649 48 0.46277
812707 2196649 50 0.46277
812707 2196649 52 0.46277
812707 2196649 54 0.52674
812707 2196649 56 0.52674
812707 2196649 58 0.52674
812707 2196649 60 0.52674
812707 2196649 62 0.52674
812707 2196649 64 0.52674
812707 2196649 66 0.60307
812707 2196649 68 0.60307
812707 2196649 70 0.60307
812707 2196649 72 0.60307
812707 2196649 74 0.60307
812707 2196649 76 0.68762
812707 2196649 78 0.68762
812707 2196649 80 0.68762
812707 2196649 82 0.68762
812707 2196649 84 0.68762
812707 2196649 86 0.68762
812707 2196649 88 0.78168
812707 2196649 90 0.78168
812707 2196649 92 0.78168
812707 2196649 94 0.78168
812707 2196649 96 0.78168
812707 2196649 98 0.88528
812707 2196649 100 0.88528
812705 2196648 0 10
812705 2196648 2 0.43361
812705 2196648 4 0.43361
812705 2196648 6 0.43361
812705 2196648 8 0.43361
812705 2196648 10 0.43361
812705 2196648 12 0.39906
812705 2196648 14 0.39906
812705 2196648 16 0.39906
812705 2196648 18 0.39906
812705 2196648 20 0.39906
812705 2196648 22 0.39018
812705 2196648 24 0.39018
812705 2196648 26 0.39018
812705 2196648 28 0.39018
812705 2196648 30 0.39018
812705 2196648 32 0.39018
812705 2196648 34 0.41521
812705 2196648 36 0.41521
812705 2196648 38 0.41521
812705 2196648 40 0.41521
812705 2196648 42 0.41521
812705 2196648 44 0.46277
812705 2196648 46 0.46277
812705 2196648 48 0.46277
812705 2196648 50 0.46277
812705 2196648 52 0.46277
812705 2196648 54 0.52674
812705 2196648 56 0.52674
812705 2196648 58 0.52674
812705 2196648 60 0.52674
812705 2196648 62 0.52674
812705 2196648 64 0.52674
812705 2196648 66 0.60307
812705 2196648 68 0.60307
812705 2196648 70 0.60307
812705 2196648 72 0.60307
812705 2196648 74 0.60307
812705 2196648 76 0.68762
812705 2196648 78 0.68762
812705 2196648 80 0.68762
812705 2196648 82 0.68762
812705 2196648 84 0.68762
812705 2196648 86 0.68762
812705 2196648 88 0.78168
812705 2196648 90 0.78168
812705 2196648 92 0.78168
812705 2196648 94 0.78168
812705 2196648 96 0.78168
812705 2196648 98 0.88528
812705 2196648 100 0.88528
812704 2196646 0 10
812704 2196646 2 0.43361
812704 2196646 4 0.43361
812704 2196646 6 0.43361
812704 2196646 8 0.43361
812704 2196646 10 0.43361
812704 2196646 12 0.39906
812704 2196646 14 0.39906
812704 2196646 16 0.39906
812704 2196646 18 0.39906
812704 2196646 20 0.39906
812704 2196646 22 0.39018
812704 2196646 24 0.39018
812704 2196646 26 0.39018
812704 2196646 28 0.39018
812704 2196646 30 0.39018
812704 2196646 32 0.39018
812704 2196646 34 0.41521
812704 2196646 36 0.41521
812704 2196646 38 0.41521
812704 2196646 40 0.41521
812704 2196646 42 0.41521
812704 2196646 44 0.46277
812704 2196646 46 0.46277
812704 2196646 48 0.46277
812704 2196646 50 0.46277
812704 2196646 52 0.46277
812704 2196646 54 0.52674
812704 2196646 56 0.52674
812704 2196646 58 0.52674
812704 2196646 60 0.52674
812704 2196646 62 0.52674
812704 2196646 64 0.52674
812704 2196646 66 0.60307
812704 2196646 68 0.60307
812704 2196646 70 0.60307
812704 2196646 72 0.60307
812704 2196646 74 0.60307
812704 2196646 76 0.68762
812704 2196646 78 0.68762
812704 2196646 80 0.68762
812704 2196646 82 0.68762
812704 2196646 84 0.68762
812704 2196646 86 0.68762
812704 2196646 88 0.78168
812704 2196646 90 0.78168
812704 2196646 92 0.78168
812704 2196646 94 0.78168
812704 2196646 96 0.78168
812704 2196646 98 0.88528
812704 2196646 100 0.88528
812702 2196645 0 10
812702 2196645 2 0.43361
812702 2196645 4 0.43361
812702 2196645 6 0.43361
812702 2196645 8 0.43361
812702 2196645 10 0.43361
812702 2196645 12 0.39906
812702 2196645 14 0.39906
812702 2196645 16 0.39906
812702 2196645 18 0.39906
812702 2196645 20 0.39906
812702 2196645 22 0.39018
812702 2196645 24 0.39018
812702 2196645 26 0.39018
812702 2196645 28 0.39018
812702 2196645 30 0.39018
812702 2196645 32 0.39018
812702 2196645 34 0.41521
812702 2196645 36 0.41521
812702 2196645 38 0.41521
812702 2196645 40 0.41521
812702 2196645 42 0.41521
812702 2196645 44 0.46277
812702 2196645 46 0.46277
812702 2196645 48 0.46277
812702 2196645 50 0.46277
812702 2196645 52 0.46277
812702 2196645 54 0.52674
812702 2196645 56 0.52674
812702 2196645 58 0.52674
812702 2196645 60 0.52674
812702 2196645 62 0.52674
812702 2196645 64 0.52674
812702 2196645 66 0.60307
812702 2196645 68 0.60307
812702 2196645 70 0.60307
812702 2196645 72 0.60307
812702 2196645 74 0.60307
812702 2196645 76 0.68762
812702 2196645 78 0.68762
812702 2196645 80 0.68762
812702 2196645 82 0.68762
812702 2196645 84 0.68762
812702 2196645 86 0.68762
812702 2196645 88 0.78168
812702 2196645 90 0.78168
812702 2196645 92 0.78168
812702 2196645 94 0.78168
812702 2196645 96 0.78168
812702 2196645 98 0.88528
812702 2196645 100 0.88528
812701 2196644 0 10
812701 2196644 2 0.43361
812701 2196644 4 0.43361
812701 2196644 6 0.43361
812701 2196644 8 0.43361
812701 2196644 10 0.43361
812701 2196644 12 0.39906
812701 2196644 14 0.39906
812701 2196644 16 0.39906
812701 2196644 18 0.39906
812701 2196644 20 0.39906
812701 2196644 22 0.39018
812701 2196644 24 0.39018
812701 2196644 26 0.39018
812701 2196644 28 0.39018
812701 2196644 30 0.39018
812701 2196644 32 0.39018
812701 2196644 34 0.41521
812701 2196644 36 0.41521
812701 2196644 38 0.41521
812701 2196644 40 0.41521
812701 2196644 42 0.41521
812701 2196644 44 0.46277
812701 2196644 46 0.46277
812701 2196644 48 0.46277
812701 2196644 50 0.46277
812701 2196644 52 0.46277
812701 2196644 54 0.52674
812701 2196644 56 0.52674
812701 2196644 58 0.52674
812701 2196644 60 0.52674
812701 2196644 62 0.52674
812701 2196644 64 0.52674
812701 2196644 66 0.60307
812701 2196644 68 0.60307
812701 2196644 70 0.60307
812701 2196644 72 0.60307
812701 2196644 74 0.60307
812701 2196644 76 0.68762
812701 2196644 78 0.68762
812701 2196644 80 0.68762
812701 2196644 82 0.68762
812701 2196644 84 0.68762
812701 2196644 86 0.68762
812701 2196644 88 0.78168
812701 2196644 90 0.78168
812701 2196644 92 0.78168
812701 2196644 94 0.78168
812701 2196644 96 0.78168
812701 2196644 98 0.88528
812701 2196644 100 0.88528
812700 2196642 0 10
812700 2196642 2 0.42989
812700 2196642 4 0.42989
812700 2196642 6 0.42989
812700 2196642 8 0.42989
812700 2196642 10 0.42989
812700 2196642 12 0.40858
812700 2196642 14 0.40858
812700 2196642 16 0.40858
812700 2196642 18 0.40858
812700 2196642 20 0.40858
812700 2196642 22 0.398
812700 2196642 24 0.398
812700 2196642 26 0.398
812700 2196642 28 0.398
812700 2196642 30 0.398
812700 2196642 32 0.398
812700 2196642 34 0.41715
812700 2196642 36 0.41715
812700 2196642 38 0.41715
812700 2196642 40 0.41715
812700 2196642 42 0.41715
812700 2196642 44 0.45995
812700 2196642 46 0.45995
812700 2196642 48 0.45995
812700 2196642 50 0.45995
812700 2196642 52 0.45995
812700 2196642 54 0.51991
812700 2196642 56 0.51991
812700 2196642 58 0.51991
812700 2196642 60 0.51991
812700 2196642 62 0.51991
812700 2196642 64 0.51991
812700 2196642 66 0.59248
812700 2196642 68 0.59248
812700 2196642 70 0.59248
812700 2196642 72 0.59248
812700 2196642 74 0.59248
812700 2196642 76 0.67463
812700 2196642 78 0.67463
812700 2196642 80 0.67463
812700 2196642 82 0.67463
812700 2196642 84 0.67463
812700 2196642 86 0.67463
812700 2196642 88 0.77468
812700 2196642 90 0.77468
812700 2196642 92 0.77468
812700 2196642 94 0.77468
812700 2196642 96 0.77468
812700 2196642 98 0.88528
812700 2196642 100 0.88528
812698 2196641 0 10
812698 2196641 2 0.42989
812698 2196641 4 0.42989
812698 2196641 6 0.42989
812698 2196641 8 0.42989
812698 2196641 10 0.42989
812698 2196641 12 0.40858
812698 2196641 14 0.40858
812698 2196641 16 0.40858
812698 2196641 18 0.40858
812698 2196641 20 0.40858
812698 2196641 22 0.398
812698 2196641 24 0.398
812698 2196641 26 0.398
812698 2196641 28 0.398
812698 2196641 30 0.398
812698 2196641 32 0.398
812698 2196641 34 0.41715
812698 2196641 36 0.41715
812698 2196641 38 0.41715
812698 2196641 40 0.41715
812698 2196641 42 0.41715
812698 2196641 44 0.45995
812698 2196641 46 0.45995
812698 2196641 48 0.45995
812698 2196641 50 0.45995
812698 2196641 52 0.45995
812698 2196641 54 0.51991
812698 2196641 56 0.51991
812698 2196641 58 0.51991
812698 2196641 60 0.51991
812698 2196641 62 0.51991
812698 2196641 64 0.51991
812698 2196641 66 0.59248
812698 2196641 68 0.59248
812698 2196641 70 0.59248
812698 2196641 72 0.59248
812698 2196641 74 0.59248
812698 2196641 76 0.67463
812698 2196641 78 0.67463
812698 2196641 80 0.67463
812698 2196641 82 0.67463
812698 2196641 84 0.67463
812698 2196641 86 0.67463
812698 2196641 88 0.77468
812698 2196641 90 0.77468
812698 2196641 92 0.77468
812698 2196641 94 0.77468
812698 2196641 96 0.77468
812698 2196641 98 0.88528
812698 2196641 100 0.88528
812697 2196639 0 10
812697 2196639 2 0.42989
812697 2196639 4 0.42989
812697 2196639 6 0.42989
812697 2196639 8 0.42989
812697 2196639 10 0.42989
812697 2196639 12 0.40858
812697 2196639 14 0.40858
812697 2196639 16 0.40858
812697 2196639 18 0.40858
812697 2196639 20 0.40858
812697 2196639 22 0.398
812697 2196639 24 0.398
812697 2196639 26 0.398
812697 2196639 28 0.398
812697 2196639 30 0.398
812697 2196639 32 0.398
812697 2196639 34 0.41715
812697 2196639 36 0.41715
812697 2196639 38 0.41715
812697 2196639 40 0.41715
812697 2196639 42 0.41715
812697 2196639 44 0.45995
812697 2196639 46 0.45995
812697 2196639 48 0.45995
812697 2196639 50 0.45995
812697 2196639 52 0.45995
812697 2196639 54 0.51991
812697 2196639 56 0.51991
812697 2196639 58 0.51991
812697 2196639 60 0.51991
812697 2196639 62 0.51991
812697 2196639 64 0.51991
812697 2196639 66 0.59248
812697 2196639 68 0.59248
812697 2196639 70 0.59248
812697 2196639 72 0.59248
812697 2196639 74 0.59248
812697 2196639 76 0.67463
812697 2196639 78 0.67463
812697 2196639 80 0.67463
812697 2196639 82 0.67463
812697 2196639 84 0.67463
812697 2196639 86 0.67463
812697 2196639 88 0.77468
812697 2196639 90 0.77468
812697 2196639 92 0.77468
812697 2196639 94 0.77468
