E N D Resistivity
811581 2195587 0 1e+13
811581 2195587 2 0.24004
811581 2195587 4 0.24004
811581 2195587 6 0.24004
811581 2195587 8 0.24004
811581 2195587 10 0.23146
811581 2195587 12 0.23146
811581 2195587 14 0.23146
811581 2195587 16 0.23146
811581 2195587 18 0.22018
811581 2195587 20 0.22018
811581 2195587 22 0.22018
811581 2195587 24 0.22018
811581 2195587 26 0.22393
811581 2195587 28 0.22393
811581 2195587 30 0.22393
811581 2195587 32 0.22393
811581 2195587 34 0.22393
811581 2195587 36 0.23431
811581 2195587 38 0.23431
811581 2195587 40 0.23431
811581 2195587 42 0.23431
811581 2195587 44 0.2471
811581 2195587 46 0.2471
811581 2195587 48 0.2471
811581 2195587 50 0.2471
811581 2195587 52 0.26467
811581 2195587 54 0.26467
811581 2195587 56 0.26467
811581 2195587 58 0.26467
811581 2195587 60 0.26467
811581 2195587 62 0.28626
811581 2195587 64 0.28626
811581 2195587 66 0.28626
811581 2195587 68 0.28626
811581 2195587 70 0.31746
811581 2195587 72 0.31746
811581 2195587 74 0.31746
811581 2195587 76 0.31746
811581 2195587 78 0.35165
811581 2195587 80 0.35165
811581 2195587 82 0.35165
811581 2195587 84 0.35165
811581 2195587 86 0.35165
811581 2195587 88 0.44083
811581 2195587 90 0.44083
811581 2195587 92 0.44083
811581 2195587 94 0.44083
811581 2195587 96 0.44083
811581 2195587 98 0.57693
811581 2195587 100 0.57693
811579 2195586 0 1e+13
811579 2195586 2 0.24004
811579 2195586 4 0.24004
811579 2195586 6 0.24004
811579 2195586 8 0.24004
811579 2195586 10 0.23146
811579 2195586 12 0.23146
811579 2195586 14 0.23146
811579 2195586 16 0.23146
811579 2195586 18 0.22018
811579 2195586 20 0.22018
811579 2195586 22 0.22018
811579 2195586 24 0.22018
811579 2195586 26 0.22393
811579 2195586 28 0.22393
811579 2195586 30 0.22393
811579 2195586 32 0.22393
811579 2195586 34 0.22393
811579 2195586 36 0.23431
811579 2195586 38 0.23431
811579 2195586 40 0.23431
811579 2195586 42 0.23431
811579 2195586 44 0.2471
811579 2195586 46 0.2471
811579 2195586 48 0.2471
811579 2195586 50 0.2471
811579 2195586 52 0.26467
811579 2195586 54 0.26467
811579 2195586 56 0.26467
811579 2195586 58 0.26467
811579 2195586 60 0.26467
811579 2195586 62 0.28626
811579 2195586 64 0.28626
811579 2195586 66 0.28626
811579 2195586 68 0.28626
811579 2195586 70 0.31746
811579 2195586 72 0.31746
811579 2195586 74 0.31746
811579 2195586 76 0.31746
811579 2195586 78 0.35165
811579 2195586 80 0.35165
811579 2195586 82 0.35165
811579 2195586 84 0.35165
811579 2195586 86 0.35165
811579 2195586 88 0.44083
811579 2195586 90 0.44083
811579 2195586 92 0.44083
811579 2195586 94 0.44083
811579 2195586 96 0.44083
811579 2195586 98 0.57693
811579 2195586 100 0.57693
811578 2195584 0 1e+13
811578 2195584 2 0.24004
811578 2195584 4 0.24004
811578 2195584 6 0.24004
811578 2195584 8 0.24004
811578 2195584 10 0.23146
811578 2195584 12 0.23146
811578 2195584 14 0.23146
811578 2195584 16 0.23146
811578 2195584 18 0.22018
811578 2195584 20 0.22018
811578 2195584 22 0.22018
811578 2195584 24 0.22018
811578 2195584 26 0.22393
811578 2195584 28 0.22393
811578 2195584 30 0.22393
811578 2195584 32 0.22393
811578 2195584 34 0.22393
811578 2195584 36 0.23431
811578 2195584 38 0.23431
811578 2195584 40 0.23431
811578 2195584 42 0.23431
811578 2195584 44 0.2471
811578 2195584 46 0.2471
811578 2195584 48 0.2471
811578 2195584 50 0.2471
811578 2195584 52 0.26467
811578 2195584 54 0.26467
811578 2195584 56 0.26467
811578 2195584 58 0.26467
811578 2195584 60 0.26467
811578 2195584 62 0.28626
811578 2195584 64 0.28626
811578 2195584 66 0.28626
811578 2195584 68 0.28626
811578 2195584 70 0.31746
811578 2195584 72 0.31746
811578 2195584 74 0.31746
811578 2195584 76 0.31746
811578 2195584 78 0.35165
811578 2195584 80 0.35165
811578 2195584 82 0.35165
811578 2195584 84 0.35165
811578 2195584 86 0.35165
811578 2195584 88 0.44083
811578 2195584 90 0.44083
811578 2195584 92 0.44083
811578 2195584 94 0.44083
811578 2195584 96 0.44083
811578 2195584 98 0.57693
811578 2195584 100 0.57693
811576 2195583 0 1e+13
811576 2195583 2 0.24004
811576 2195583 4 0.24004
811576 2195583 6 0.24004
811576 2195583 8 0.24004
811576 2195583 10 0.23146
811576 2195583 12 0.23146
811576 2195583 14 0.23146
811576 2195583 16 0.23146
811576 2195583 18 0.22018
811576 2195583 20 0.22018
811576 2195583 22 0.22018
811576 2195583 24 0.22018
811576 2195583 26 0.22393
811576 2195583 28 0.22393
811576 2195583 30 0.22393
811576 2195583 32 0.22393
811576 2195583 34 0.22393
811576 2195583 36 0.23431
811576 2195583 38 0.23431
811576 2195583 40 0.23431
811576 2195583 42 0.23431
811576 2195583 44 0.2471
811576 2195583 46 0.2471
811576 2195583 48 0.2471
811576 2195583 50 0.2471
811576 2195583 52 0.26467
811576 2195583 54 0.26467
811576 2195583 56 0.26467
811576 2195583 58 0.26467
811576 2195583 60 0.26467
811576 2195583 62 0.28626
811576 2195583 64 0.28626
811576 2195583 66 0.28626
811576 2195583 68 0.28626
811576 2195583 70 0.31746
811576 2195583 72 0.31746
811576 2195583 74 0.31746
811576 2195583 76 0.31746
811576 2195583 78 0.35165
811576 2195583 80 0.35165
811576 2195583 82 0.35165
811576 2195583 84 0.35165
811576 2195583 86 0.35165
811576 2195583 88 0.44083
811576 2195583 90 0.44083
811576 2195583 92 0.44083
811576 2195583 94 0.44083
811576 2195583 96 0.44083
811576 2195583 98 0.57693
811576 2195583 100 0.57693
811575 2195581 0 1e+13
811575 2195581 2 0.24004
811575 2195581 4 0.24004
811575 2195581 6 0.24004
811575 2195581 8 0.24004
811575 2195581 10 0.23146
811575 2195581 12 0.23146
811575 2195581 14 0.23146
811575 2195581 16 0.23146
811575 2195581 18 0.22018
811575 2195581 20 0.22018
811575 2195581 22 0.22018
811575 2195581 24 0.22018
811575 2195581 26 0.22393
811575 2195581 28 0.22393
811575 2195581 30 0.22393
811575 2195581 32 0.22393
811575 2195581 34 0.22393
811575 2195581 36 0.23431
811575 2195581 38 0.23431
811575 2195581 40 0.23431
811575 2195581 42 0.23431
811575 2195581 44 0.2471
811575 2195581 46 0.2471
811575 2195581 48 0.2471
811575 2195581 50 0.2471
811575 2195581 52 0.26467
811575 2195581 54 0.26467
811575 2195581 56 0.26467
811575 2195581 58 0.26467
811575 2195581 60 0.26467
811575 2195581 62 0.28626
811575 2195581 64 0.28626
811575 2195581 66 0.28626
811575 2195581 68 0.28626
811575 2195581 70 0.31746
811575 2195581 72 0.31746
811575 2195581 74 0.31746
811575 2195581 76 0.31746
811575 2195581 78 0.35165
811575 2195581 80 0.35165
811575 2195581 82 0.35165
811575 2195581 84 0.35165
811575 2195581 86 0.35165
811575 2195581 88 0.44083
811575 2195581 90 0.44083
811575 2195581 92 0.44083
811575 2195581 94 0.44083
